fcltynm,mt10id,mt13cnt,fcltychartr,opende,seatscale,telno,relateurl,adres,la,lo,restaurant,cafe,store,nolibang,suyu,parkbarrier,restbarrier,runwbarrier,elevbarrier,parkinglot,mt13s
안성맞춤아트홀,FC001812,3,공공(문예회관),2017,1294,031-660-0666,https://www.anseong.go.kr/arthall/main.do,경기도 안성시 발화대길 21 (현수동),37.0010012,127.2790334,N,Y,N,N,Y,Y,Y,Y,Y,Y,"
            "
예술나무씨어터(구. 상상나눔씨어터),FC000212,1,민간(대학로 외),2013,232,02-1661-5054,https://cafe.naver.com/purifycompany,"서울특별시 구로구 구로중앙로 134 (구로동, 신구로자이나인스에비뉴)",37.5000786,126.8840596,N,N,N,N,N,Y,N,N,N,Y,"
            "
아양아트센터,FC001169,3,공공(문예회관),2004,1711,053-951-3300,http://www.ayangarts.or.kr/,대구광역시 동구 효동로2길 24 (효목동),35.8797836,128.65196030000004,N,N,Y,N,N,Y,Y,Y,Y,Y,"
            "
모두누림센터,FC001655,1,공공(문예회관),2017,372,031-357-5238,http://art.hcf.or.kr/subpage/index/504,경기도 화성시 남양읍 시청로 155,37.1987619,126.82857749999994,Y,Y,N,Y,N,Y,Y,Y,Y,Y,"
            "
미아리고개예술극장(구. 미아리예술극장),FC000258,1,공공(기타),2009,74,02-6956-9045,https://www.miari-cooptheater.co.kr,서울특별시 성북구 동소문로 177 (돈암동),37.597782,127.02140899999995,N,N,N,N,N,N,N,N,N,N,"
            "
안양아트센터,FC000021,2,공공(문예회관),1989,2246,031-687-0500,http://www.ayac.or.kr/,경기도 안양시 만안구 문예로36번길 16 (안양동),37.3845562,126.93136809999999,N,N,N,N,N,Y,Y,Y,Y,Y,"
            "
계양문화회관,FC000840,1,공공(문예회관),1997,795,032-551-6602,http://www.gysiseol.or.kr/culturebuilding/main/index.php,인천광역시 계양구 계양산로35번길 11 (계산동),37.5461360583772,126.718079789918,N,N,N,N,N,Y,N,N,N,Y,"
            "
영주문화예술회관,FC000050,1,공공(문예회관),2012,498,054-639-5951,http://art.yeongju.go.kr/,경상북도 영주시 가흥로 257 (가흥동),36.8184005,128.60536649999995,N,N,N,N,N,Y,Y,Y,Y,Y,"
            "
인터미션,FC003631,1,민간(대학로 외), ,0, , ,경기도 수원시 권선구 경수대로 371 (권선동),37.2597035,127.0232864,N,N,N,N,N,N,N,N,N,N,"
            "
통영시민문화회관,FC000247,2,공공(문예회관),1997,1170,055-641-2622,http://www.tongyeong.go.kr/citizen.web,경상남도 통영시 남망공원길 29 (동호동),34.8424044,128.4287974,N,Y,N,N,N,N,Y,Y,N,Y,"
            "
국립정동극장,FC000006,2,국립,1995,860,02-751-1500,http://www.jeongdong.or.kr,서울특별시 중구 정동길 43 (정동),37.5659672,126.97285929999998,N,N,N,N,N,N,N,N,Y,Y,"
            "
지구인아트홀 (구. 해오름 예술극장),FC001250,1,민간(대학로),2014,170,02-745-3641, ,서울특별시 종로구 창경궁로 260 (명륜2가),37.5843848,127.00051899999994,N,Y,N,N,N,N,N,N,N,N,"
            "
TINC This is Not a Church(구. 명성교회),FC002747,1,민간(대학로),2020,0, ,https://t-i-n-c.com/Info,서울특별시 성북구 동소문로10길 34-16 (삼선동4가),37.5888231,127.0108788,N,N,N,N,N,N,N,N,N,N,"
            "
대구어린이회관 꾀꼬리극장,FC000287,1,공공(기타),1983,599,053-803-7944,http://www.daegu.go.kr/Childhall/,대구광역시 수성구 동대구로 176 (황금동),35.845223,128.62448199999994,N,N,N,Y,Y,Y,Y,Y,Y,Y,"
            "
충동소극장,FC002630,1,민간(대학로 외), ,30,010-3906-8835,http://www.choongdong.com/,서울특별시 광진구 뚝섬로36길 49 (자양동),37.5322705,127.0706336,N,N,N,N,N,N,N,N,N,N,"
            "
반석아트홀(동탄복합문화센터),FC000118,2,공공(문예회관),2011,1155,00-1588-5234,http://art.hcf.or.kr/subpage/index/254,경기도 화성시 노작로 134 (반송동),37.2006588,127.07391230000007,N,Y,N,N,N,Y,Y,N,Y,Y,"
            "
카페 모베터블루스,FC004060,1,기타(비공연장), ,0, , ,서울특별시 종로구 동숭4길 4 (동숭동),37.5830523,127.0039951,N,N,N,N,N,N,N,N,N,N,"
            "
포천반월아트홀,FC000612,3,공공(문예회관),2003,1162,031-540-6213,https://www.pcfac.or.kr/,경기도 포천시 군내면 청성로 111,37.8958535,127.21221459999992,N,N,N,N,N,N,N,N,N,Y,"
            "
국립아시아문화전당,FC001270,17,국립,2015,4274,00-1899-5566,https://www.acc.go.kr/,광주광역시 동구 문화전당로 38 (광산동) 아시아문화전당,35.1467193,126.92025420000004,Y,Y,Y,Y,Y,N,N,N,N,Y,"
            "
라온아트홀,FC002760,1,민간(대학로), ,110, , ,서울특별시 종로구 대학로10길 11 (동숭동),37.581853,127.0028053,N,Y,N,N,N,N,N,N,N,N,"
            "
미로센터 [광주],FC002951,2,민간(대학로 외), ,165,062-608-2132,http://dgmiro.donggu.kr/,광주광역시 동구 중앙로196번길 15-12(궁동),35.1500515,126.917886,N,Y,N,N,N,N,N,N,N,N,"
            "
퓨플스튜디오,FC003695,1,민간(대학로 외), ,80, , ,서울특별시 금천구 디지털로9길 56 (가산동),37.4804026,126.8868723,N,N,N,N,N,N,N,N,N,Y,"
            "
예린소극장,FC001810,1,민간(대학로 외),2016,36,062-223-2690,https://spacecloud.kr/space/3625,광주광역시 동구 예술길 23-1 (궁동),35.14996259999999,126.9187594,N,N,N,N,N,N,N,N,N,N,"
            "
아라아트홀,FC003839,1,민간(대학로), ,0, , ,서울특별시 종로구 대학로8가길 30 (동숭동),37.582294,127.0025606,N,N,N,N,N,N,N,N,N,N,"
            "
서연아트홀(구. 인아소극장),FC001223,1,민간(대학로),2013,166,070-5180-5956, ,서울특별시 종로구 창경궁로 258 - 9,37.5838644,127.00056100000006,N,N,N,N,N,N,N,N,N,N,"
            "
강남씨어터,FC001619,1,공공(기타),2007,232,02-6712-0531,https://gangnam.go.kr/office/gfac/contents/gfac_place02/1/view.do?mid=gfac_place02,서울특별시 강남구 역삼로7길 16 (역삼동),37.495188,127.03321630000005,N,N,N,N,N,Y,Y,Y,Y,Y,"
            "
북극곰소극장(구.아뮤스소극장),FC001814,1,민간(대학로),2019,37,010-4293-5155,https://bookbear23.modoo.at/,서울특별시 종로구 이화장1길 24 (이화동) ,37.5773694,127.00575709999998,N,N,N,N,N,N,Y,N,N,N,"
            "
아트벙커,FC001828,1,민간(대학로 외),2017,104,053-421-2223,https://www.facebook.com/groups/1109711122479798/about/,대구광역시 남구 현충로 262 (대명동),35.8557096,128.58320249999997,N,N,N,N,N,N,N,N,N,N,"
            "
광산문화예술회관,FC000849,1,공공(문예회관),2002,540,062-960-8860,http://art.gwangsan.go.kr/,광주광역시 광산구 광산로68번길 13 (송정동),35.1404404,126.79929249999998,N,N,N,N,N,N,N,N,N,Y,"
            "
광주 민들레소극장,FC001679,1,민간(대학로 외),1989,150,062-222-6280, ,광주광역시 동구 동계천로 111 (동명동),35.1508402,126.9227601,N,N,N,N,N,N,N,N,N,N,"
            "
스케치홀 (구.소극장 선물 1관),FC003462,2,민간(대학로), ,20, , ,서울특별시 종로구 동숭길 145 (동숭동),37.5831766,127.0022799,N,N,N,N,N,N,N,N,N,N,"
            "
세종대학교 충무관,FC001789,1,민간(대학로 외),1978,100,02-3408-3114,http://www.sejong.ac.kr/,서울특별시 광진구 능동로 209 (군자동),37.5522605,127.07396059999996,Y,Y,Y,N,N,Y,Y,Y,N,Y,"
            "
우리소극장 [의정부],FC002061,1,민간(대학로 외),2020,50,010-3954-5899,https://woorihall.modoo.at/,경기도 의정부시 용민로 483 (민락동),37.7507781,127.1181088,N,Y,Y,N,N,Y,Y,N,N,Y,"
            "
달밤엔씨어터,FC001884,1,민간(대학로),2014,109,02-985-5654,https://www.instagram.com/dbncom/,서울특별시 종로구 대학로14길 18-2 (혜화동),37.5839551,127.00265549999995,N,N,N,N,N,N,N,N,N,N,"
            "
금천뮤지컬센터,FC003017,1,공공(기타),2021,197,02-2627-2183,https://www.instagram.com/gcmc.kr/,서울특별시 금천구 시흥대로115길 48(독산동),37.4687771,126.8944749,N,N,N,N,N,Y,N,Y,N,Y,"
            "
필씨어터,FC001300,1,민간(대학로 외),2008,70,061-247-0247,http://cafe.daum.net/Phil-theater,전라남도 목포시 유동로 10,34.7894032,126.38647489999994,N,N,N,N,N,N,N,N,N,N,"
            "
대학로 이음센터(한국장애인문화예술원),FC001404,2,공공(기타),2015,120,02-760-9700,http://www.i-eum.or.kr/contents/view?contentsNo=6&level=1&menuNo=5,서울특별시 종로구 대학로 112 (동숭동),37.5811397,127.00238289999993,N,Y,N,N,N,N,Y,Y,Y,N,"
            "
소극장 빨간객석,FC002881,1,민간(대학로 외),2021,50,010-4507-6271,https://auditoriumredtheater.modoo.at/,경상남도 창원시 마산합포구 오동동14길 62(오동동),35.2057603,128.5826597,N,N,N,N,N,N,N,N,N,N,"
            "
인천아트플랫폼,FC001310,1,공공(기타),2009,30,032-760-1000,http://www.inartplatform.kr,인천광역시 중구 제물량로218번길 3 - 0 인천아트플랫폼,37.4729295,126.62004730000001,N,Y,N,N,N,Y,Y,Y,Y,N,"
            "
소극장 고도,FC000623,1,민간(대학로 외),2010,80,042-226-3861, ,대전광역시 중구 중앙로112번길 13 (대흥동),36.3268216,127.42293219999999,N,Y,N,N,N,N,N,N,N,N,"
            "
마루아트홀,FC001815,1,민간(대학로),2018,118,070-4618-5753,https://www.instagram.com/my_ps_partner_maruart/,서울특별시 종로구 대학로8가길 30 (동숭동),37.582253,127.00254580000001,N,N,N,N,N,N,N,N,N,N,"
            "
대구서구문화회관,FC000836,2,공공(문예회관),1998,822,053-663-3081,http://www.dgs.go.kr/culture/index.html,대구광역시 서구 당산로 403 (이현동),35.8722732,128.5455773,N,N,N,N,N,Y,Y,N,N,Y,"
            "
"아루또소극장(구. 소담소극장, 구. 코메디컬센터)",FC001379,1,민간(대학로),2017,97,02-6012-2511, ,서울특별시 종로구 대학로8가길 48 (동숭동),37.5828996,127.00240359999998,N,N,N,N,N,N,N,N,N,N,"
            "
성주문화예술회관,FC000868,1,공공(문예회관),2003,1002,054-933-6912,http://www.scac.go.kr,경상북도 성주군 성주읍 성산9길 45,35.9183692,128.30130510000004,N,Y,N,Y,N,Y,Y,Y,N,Y,"
            "
아트팩토리 봄,FC002814,1,민간(대학로 외),2021,82,033-263-7222, ,강원도 춘천시 신동면 풍류1길 34,37.8179712,127.7197078,N,N,N,N,N,N,N,N,N,N,"
            "
김포아트홀,FC001618,1,공공(문예회관),2015,503,031-996-1603,https://www.gcf.or.kr/main/?mc_code=1411,경기도 김포시 돌문로 26 (사우동),37.6189366,126.72017299999993,N,N,N,N,N,Y,Y,N,Y,Y,"
            "
토마토소극장,FC002546,1,민간(대학로 외),2007,125,052-248-1425,https://cafe.naver.com/tomatocinema/,울산광역시 중구 장춘로 114 (성남동),35.5569845,129.3208712,N,N,N,N,N,N,N,N,N,N,"
            "
서울예술대학교,FC002839,4,민간(대학로 외), ,0,031-412-7100, ,경기도 안산시 단원구 예술대학로 171(고잔동),37.3334141,126.8362748,N,N,N,N,N,N,N,N,N,Y,"
            "
플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터),FC001459,1,민간(대학로),2010,314,02-731-9199, ,서울특별시 종로구 대학로12길 73 (동숭동),37.5807747,127.00396490000003,N,N,N,N,N,N,N,N,N,N,"
            "
꿈의숲아트센터,FC000567,3,공공(기타),2009,584,02-2289-5401,http://www.dfac.or.kr/main/main.asp,서울특별시 강북구 월계로 173 (번동),37.6214312,127.0406246,Y,Y,Y,N,N,Y,Y,Y,Y,Y,"
            "
씨어터 제이,FC000906,1,민간(대학로 외),2005,180,043-256-3338,http://cafe.daum.net/theatrej/,충청북도 청주시 상당구 상당로69번길 12-6 (북문로1가),36.6347375,127.49001010000006,Y,N,N,N,N,N,N,N,N,N,"
            "
여우별아트홀,FC001393,1,민간(대학로 외),2015,156,010-2875-1931,https://foxstar.modoo.at/,대구광역시 중구 동성로3길 35 (삼덕동1가),35.866951,128.59729459999994,N,N,N,N,N,N,N,N,N,Y,"
            "
부산민주공원 공연장,FC000853,2,공공(문예회관),1999,535,051-790-7408,http://www.demopark.or.kr/main/main.asp,부산광역시 중구 민주공원길 19 (영주동),35.1100718,129.02807269999994,Y,N,N,N,N,N,N,N,Y,Y,"
            "
예스24아트원(구.대학로아트원씨어터),FC000833,3,민간(대학로),2009,851,02-762-0010, ,서울특별시 종로구 대학로12길 83 (동숭동),37.5802316,127.0040004,N,N,N,N,N,N,N,N,N,N,"
            "
성균소극장,FC001262,1,민간(대학로),2006,180,02-747-5035,http://sktheater.modoo.at/,서울특별시 종로구 성균관로 12-3 (명륜2가),37.5845012,126.99909430000002,N,N,N,N,N,N,N,N,N,N,"
            "
포항시청 대잠홀,FC001256,1,공공(문예회관),2007,597,054-270-8282,http://www.phcf.or.kr/kr/sub.do?MENU_SEQ=10076&PAGE_SEQ=10158&LANG=ko_KR#none https://www.pohang.go.kr/pohang/index.do,경상북도 포항시 남구 시청로 1 (대잠동),36.0191816,129.34329830000001,N,N,N,N,Y,Y,Y,N,Y,Y,"
            "
M극장,FC000815,1,민간(대학로 외),2006,150,02-578-6812,http://www.mtheater.co.kr/,서울특별시 강남구 논현로4길 36 (개포동),37.4736304,127.05291920000002,N,N,N,N,N,N,N,N,N,Y,"
            "
CK아트홀,FC000629,1,민간(대학로 외),2009,188,00-1899-2330,http://www.ckarthall.com/default/,울산광역시 남구 삼산로 173 (달동),35.53739789999999,129.32611280000003,Y,N,N,N,N,N,N,N,N,Y,"
            "
드림아트홀 [대전],FC000752,1,민간(대학로 외),2007,85,042-252-0887,http://cafe.daum.net/dreamarthall,대전광역시 중구 선화서로 2 (대흥동),36.3243771,127.42044770000007,N,N,N,N,N,N,N,N,N,N,"
            "
한라아트홀,FC000724,3,민간(대학로 외),2001,1311,064-741-7575,http://www.chu.ac.kr/organization/02organization/sub02/sub02.php,제주특별자치도 제주시 한라대학로 38 (노형동),33.4762933,126.47489870000004,N,N,N,N,N,N,N,N,N,Y,"
            "
수성아트피아,FC000204,2,공공(문예회관),2007,1460,053-666-3300,http://www.ssartpia.kr,대구광역시 수성구 무학로 180 (지산동),35.8295426,128.62841500000002,N,N,N,N,N,Y,Y,N,N,Y,"
            "
열린극장,FC000516,1,민간(대학로),1999,150,02-743-6474, ,서울특별시 종로구 창경궁로 258-12 (명륜2가),37.5836706,127.0003428,N,N,N,N,N,N,N,N,N,N,"
            "
제천예술의전당,FC003948,1,공공(문예회관),2024,799,043-641-5520,https://www.jecheon.go.kr/jcac,충청북도 제천시 동명로 77 (명동),37.1356797,128.2083233,N,Y,N,N,N,N,N,N,N,Y,"
            "
오산문화예술회관,FC000145,2,공공(문예회관),2004,1007,031-379-9900,https://www.osan.go.kr/arts/main.do,경기도 오산시 경기동로 41 (오산동),37.1597009,127.07653890000006,N,N,N,N,N,Y,N,N,N,Y,"
            "
하모니아 아트홀,FC000296,2,민간(대학로 외),2007,410,053-254-7241,https://www.facebook.com/%ED%95%98%EB%AA%A8%EB%8B%88%EC%95%84-%EC%95%84%ED%8A%B8%ED%99%80-145385915664480,대구광역시 중구 동성로1길 29-29 (동성로3가),35.8676048,128.59505160000003,N,N,N,N,N,N,N,N,N,N,"
            "
어댑터씨어터 1관 (구.어댑터플레이스),FC002763,1,민간(대학로 외),2021,100,051-911-1447,http://www.adapter.theater,부산광역시 수영구 광안해변로 193 (광안동),35.1516557,129.1167408,Y,Y,N,N,N,N,N,N,N,N,"
            "
"제이원 씨어터 (구. 서완소극장, 구. 씨어터고리)",FC001201,1,민간(대학로),2009,98,02-926-4937, ,서울특별시 종로구 창경궁로34길 18-12,37.5841705,127.00042899999994,Y,N,N,N,N,N,N,N,N,N,"
            "
가마골소극장,FC001683,1,민간(대학로 외),2017,120,051-723-0568,www.kamagol.co.kr,부산광역시 기장군 일광면 이천6길 2,35.2675636,129.23491609999996,N,N,N,N,N,N,N,N,N,N,"
            "
양산문화예술회관,FC000238,2,공공(문예회관),2002,963,055-379-8550,http://www.yangsanart.net/,경상남도 양산시 중앙로 39-1 (남부동),35.3336224,129.03692249999995,N,N,N,N,Y,Y,Y,Y,N,Y,"
            "
강릉아트센터(구. 강릉문화예술관),FC001787,6,공공(문예회관),1992,1607,033-660-6800,http://www.gn.go.kr/artscenter/index.do,강원도 강릉시 종합운동장길 84 (교동),37.7716846,128.895305,N,Y,N,N,Y,Y,Y,Y,Y,Y,"
            "
인천중구문화회관,FC000158,1,공공(문예회관),2012,638,032-760-6400,http://artcenter.icjg.go.kr/,인천광역시 중구 축항대로296번길 81 (신흥동3가),37.4375263,126.6272199,N,N,N,N,N,Y,N,N,N,Y,"
            "
틴틴홀,FC000806,1,민간(대학로),2003,244,02-764-8760, ,서울특별시 종로구 대학로10길 24 (동숭동),37.5815685,127.00353990000008,N,N,N,N,N,N,N,N,N,N,"
            "
성수아트홀(성수문화복지회관),FC001173,1,공공(문예회관),2012,352,02-2204-7571,https://www.sdfac.or.kr/kor/sdfac/sub/contents.do?gotoMenuNo=08020500,서울특별시 성동구 뚝섬로1길 43 (성수동1가),37.5443376,127.04692750000004,N,Y,N,N,Y,Y,Y,N,N,Y,"
            "
상명아트홀,FC000763,2,민간(대학로),2001,270,02-2075-2173,https://www.smu.ac.kr/smarts/index.do,서울특별시 종로구 동숭길 133 (동숭동),37.5833331,127.00272719999998,N,Y,N,N,N,Y,Y,N,Y,Y,"
            "
학산소극장,FC000300,1,공공(기타),2004,114,032-866-3970,http://www.haksanculture.or.kr/theatre/haksantheater.php,인천광역시 남구 인하로 126 (용현동),37.4494551,126.661876,Y,Y,Y,N,N,Y,Y,N,Y,Y,"
            "
공간소극장 [대연역],FC002674,1,민간(대학로 외),2019,50,051-611-8518,http://cafe.naver.com/ggtheater,부산광역시 남구 수영로 지하 242 (대연동),35.1342618,129.0944425,N,N,N,N,N,N,N,N,N,N,"
            "
지즐소극장,FC001156,1,민간(대학로),2007,84,010-8596-6296,https://www.facebook.com/pages/%EC%A7%80%EC%A6%90%EC%86%8C%EA%B7%B9%EC%9E%A5/468578863227778,서울특별시 종로구 성균관로4길 42 (명륜2가),37.5847101,126.9996688,Y,N,N,N,N,N,N,N,N,N,"
            "
광진어린이공연장,FC003360,1,민간(대학로 외), ,0, , ,서울특별시 광진구 능동로 400(중곡동),37.5650581,127.0844568,N,N,N,N,N,N,N,N,N,Y,"
            "
성북마을극장,FC001361,1,민간(대학로),2015,80,010-3385-4155,http://sbtheater.modoo.at/,서울특별시 성북구 동소문로20다길 10 (동선동1가),37.5915775,127.0173297,N,N,N,N,N,N,N,N,N,N,"
            "
새싹타워,FC004162,1,민간(대학로 외), ,75, , ,서울특별시 강서구 강서로 463 (마곡동),37.5669464,126.8404463,N,N,N,N,N,N,N,N,N,N,"
            "
창조문화활력센터 소극장 624,FC001479,2,공공(기타),2013,123,051-336-8521,https://cafe.naver.com/bswindow.cafe,부산광역시 북구 백양대로 1167 (구포동),35.20643889999999,129.0044021,N,Y,N,N,N,N,N,N,N,Y,"
            "
JS아트홀 (구. 고스트씨어터 구.다소니씨어터),FC001859,1,민간(대학로),2018,194,070-7733-7198, ,서울특별시 종로구 동숭길 94 (동숭동),37.5824158,127.00432799999999,N,N,N,N,N,N,N,N,N,N,"
            "
인천동구문화체육센터,FC002962,1,공공(문예회관), ,495,032-772-7700,https://www.icdonggu.go.kr/cscenter/fmcs/1,인천광역시 동구 송림로110번길 5-8(송림동),37.475773,126.6475423,N,N,N,N,N,N,N,N,N,Y,"
            "
대전예술가의집,FC001289,1,공공(문예회관),2015,140,042-480-1081,http://www.dcaf.or.kr/web/page.do?menuIdx=446,대전광역시 중구 중앙로 32 (문화동),36.3222524,127.41610430000003,N,N,N,N,Y,Y,Y,Y,Y,Y,"
            "
드림시어터 [대학로],FC001218,1,민간(대학로),2012,126,010-3749-0221,https://bulltheatre.modoo.at/?link=cb6i15sg,서울특별시 종로구 대학로10길 15 - 11,37.5822206,127.00276359999998,N,N,N,N,N,N,N,N,N,N,"
            "
청담 예인아트홀,FC003191,1,민간(대학로 외), ,0, , ,서울특별시 강남구 도산대로81길 45(청담동),37.5270366,127.0461887,N,N,N,N,N,N,N,N,N,N,"
            "
경기아트센터(구. 경기도문화의전당),FC000017,6,공공(문예회관),1991,3032,031-230-3200,http://www.ggac.or.kr/,경기도 수원시 팔달구 효원로307번길 20 (인계동) 경기도문화의전당,37.2618899,127.0374319,Y,N,N,N,N,Y,Y,N,N,Y,"
            "
경주예술의전당,FC000517,5,공공(문예회관),2010,3184,054-777-2949,https://garts.kr/index.do,경상북도 경주시 알천북로 1 (황성동),35.8625869,129.20586520000006,N,Y,N,N,Y,Y,Y,Y,Y,Y,"
            "
김제문화예술회관,FC000449,2,공공(문예회관),2009,718,063-540-4172,http://art.gimje.go.kr/index.sko,전라북도 김제시 성산길 20 (교동),35.8028856,126.87719349999998,N,N,N,N,N,Y,Y,Y,N,Y,"
            "
홍주문화회관,FC000445,2,공공(문예회관),1988,1343,041-634-0021,http://art.hongseong.go.kr/,충청남도 홍성군 홍성읍 내포로 164,36.5947409,126.65187470000001,N,N,N,N,N,N,N,N,N,Y,"
            "
세이레아트센터,FC001512,1,민간(대학로 외),2007,120,064-744-8911,https://sayreartcenter.modoo.at/,제주특별자치도 제주시 서광로 182-6 (삼도일동),33.4991191,126.51603879999993,N,N,Y,N,N,N,N,N,N,Y,"
            "
JTN 아트홀(구. 대학로예술마당),FC000139,4,민간(대학로),2016,854,02-779-1595,http://www.jtnarthall.com/,서울특별시 종로구 이화장길 26 (이화동),37.5767066,127.00376210000002,N,Y,N,N,N,N,Y,N,N,N,"
            "
소극장 여우,FC000902,1,민간(대학로 외),2009,100,033-241-1740,http://cafe.naver.com/itiki,강원도 춘천시 공지로 121-1 (석사동) 삼원빌딩 지하,37.8571091124131,127.746990735375,N,N,N,N,N,N,N,N,N,N,"
            "
콜링아트센터,FC002794,1,기타(비공연장), ,0,02-545-4083,https://callingartcenter.modoo.at/,서울특별시 관악구 관악로14길 110 (봉천동),37.4777141,126.9584144,N,N,N,N,N,N,N,N,N,Y,"
            "
울산문화예술회관,FC000081,3,공공(문예회관),1995,2550,052-266-8282,http://ucac.ulsan.go.kr/,울산광역시 남구 번영로 200 (달동),35.5429378079717,129.327089892733,N,N,N,N,N,Y,Y,Y,Y,Y,"
            "
부평문화사랑방,FC001796,1,공공(기타),2003,126,032-505-5995,https://www.bpcf.or.kr/facility/culturelove/introduce.asp,인천광역시 부평구 주부토로 173 (갈산동),37.510697,126.72569820000001,N,N,N,N,N,Y,Y,N,N,Y,"
            "
부산시민회관,FC000497,4,공공(문예회관),2009,1991,051-630-5200,http://www.bscc.or.kr/citizen/06_intro/?mcode=1006050100,부산광역시 동구 자성로133번길 16 (범일동),35.138781,129.06525499999998,Y,Y,N,Y,Y,Y,N,Y,N,Y,"
            "
컬쳐씨어터(구. 휴먼시어터),FC001207,1,민간(대학로),2016,120,010-9012-6001, ,서울특별시 종로구 대학로8가길 80 (동숭동),37.5824518,127.00325190000001,Y,N,N,N,N,N,N,Y,Y,N,"
            "
속초문화예술회관,FC000358,2,공공(문예회관),1990,707,033-639-2080, ,강원도 속초시 번영로 155 (영랑동),38.2127835,128.58869170000003,N,N,N,N,N,N,N,N,N,Y,"
            "
안산문화예술의전당,FC000018,4,공공(문예회관),2004,3429,031-481-4000,http://www.ansanart.com/,경기도 안산시 단원구 화랑로 312 (고잔동),37.3196723,126.82255570000007,N,Y,N,Y,N,Y,Y,N,Y,Y,"
            "
상상플레이스 여순광점(여수 웅천 트리마제벨마레 2305호),FC003658,1,민간(대학로 외),2023,0, , ,전라남도 여수시 웅천로 83 (웅천동),34.743686,127.6751029,N,N,N,N,N,N,N,N,N,N,"
            "
BNK부산은행 조은극장,FC001246,3,민간(대학로 외),2009,572,00-1588-2757,http://www.gp-gp.co.kr/,부산광역시 중구 구덕로34번길 4 (남포동2가),35.0983004,129.03232530000002,N,N,N,N,N,N,N,Y,Y,N,"
            "
JB소극장,FC003369,1,민간(대학로 외), ,90, , ,충청남도 천안시 동남구 각원사길 114-8(안서동),36.8290506,127.1844376,N,N,N,N,N,N,N,N,N,N,"
            "
강원대학교 백령아트센터,FC000521,2,공공(기타),1994,1600,033-250-7201,https://kwbc.kangwon.ac.kr/,강원도 춘천시 강원대학길 1 (효자동),37.8691718944428,127.744539492098,N,N,N,Y,N,Y,Y,Y,N,Y,"
            "
아트플러스씨어터,FC000298,2,민간(대학로 외),2011,257,053-422-7679,http://artplustheater.alltheway.kr/,대구광역시 중구 동성로3길 83 (공평동),35.8690444,128.5981021,N,N,N,N,N,N,N,N,N,N,"
            "
군포문화예술회관,FC001167,3,공공(문예회관),1998,2573,031-390-3500,http://www.gunpoart.net/?pid=B,경기도 군포시 고산로 599 (산본동),37.3661695,126.92759120000005,Y,N,Y,Y,N,Y,Y,Y,Y,Y,"
            "
상명대학교 천안캠퍼스,FC003268,1,민간(대학로 외), ,0, , ,충청남도 천안시 동남구 상명대길 31(안서동),36.8313072,127.1809929,N,N,N,N,N,N,N,N,N,Y,"
            "
